Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,IndividualId,Primary_Academic_Program__c,Primary_Department__c,Primary_Educational_Institution__c,Primary_Sports_Organization__c,hed__AlternateEmail__c,hed__Chosen_Full_Name__c,hed__Citizenship_Status__c,hed__Citizenship__c,hed__Contact_JSON__c,hed__Country_of_Origin__c,hed__Current_Address__c,hed__Date_Deceased__c,hed__Deceased__c,hed__Do_Not_Contact__c,hed__Dual_Citizenship__c,hed__Ethnicity__c,hed__Exclude_from_Household_Formal_Greeting__c,hed__Exclude_from_Household_Informal_Greeting__c,hed__Exclude_from_Household_Name__c,hed__FERPA__c,hed__Financial_Aid_Applicant__c,hed__Former_First_Name__c,hed__Former_Last_Name__c,hed__Former_Middle_Name__c,hed__Gender__c,hed__HIPAA_Detail__c,hed__HIPAA__c,hed__Mailing_County__c,hed__Military_Background__c,hed__Military_Service__c,hed__Naming_Exclusions__c,hed__Other_County__c,hed__PreferredPhone__c,hed__Preferred_Email__c,hed__Primary_Address_Type__c,hed__Primary_Household__c,hed__Primary_Language__c,hed__Primary_Organization__c,hed__Race__c,hed__Religion__c,hed__Secondary_Address_Type__c,hed__Social_Security_Number__c,hed__UniversityEmail__c,hed__WorkEmail__c,hed__WorkPhone__c,hed__Work_Address__c,hed__is_Address_Override__c,hed__Disability_Status__c,hed__Mailing_Address_Inactive__c,hed__SMS_Opt_Out__c,Credentialing_Identifier__c,Student_ID__c
0038c00002lK9ddAAC,,,0018c00002HgiX9AAJ,Diaz,Mark,,Mark Diaz,,,,,,,,,,,,,,,,,,,2222222222,,2222222222,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-12T15:11:57.000+0000,0058c00000BdWN8AAN,2022-04-12T15:11:57.000+0000,0058c00000BdWN8AAN,2022-04-12T15:11:57.000+0000,,,,2022-04-12T15:11:58.000+0000,2022-04-12T15:11:58.000+0000,,,,/services/images/photo/0038c00002lK9ddAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile Phone,,,,,,,,,,,,,,,,,,,
0038c00002lK9deAAC,,,0018c00002HgiXAAAZ,Schroder,Miles,,Miles Schroder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-12T15:12:26.000+0000,0058c00000BdWN8AAN,2022-04-12T15:15:07.000+0000,0058c00000BdWN8AAN,2022-04-12T15:15:07.000+0000,,,,2022-04-12T15:15:07.000+0000,2022-04-12T15:15:07.000+0000,,,,/services/images/photo/0038c00002lK9deAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002lK9diAAC,,,0018c00002HgiXEAAZ,Orloff,Martin,,Martin Orloff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-12T15:12:45.000+0000,0058c00000BdWN8AAN,2022-04-12T15:14:52.000+0000,0058c00000BdWN8AAN,2022-04-12T15:14:52.000+0000,,,,2022-04-12T15:14:52.000+0000,2022-04-12T15:14:52.000+0000,,,,/services/images/photo/0038c00002lK9diAAC,,,,,,,,,Orloff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKkAAK,,,0018c00002HgNxeAAF,Coldwater,Quentin,,Quentin Coldwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-12T14:56:49.000+0000,2022-04-12T14:56:49.000+0000,,,,/services/images/photo/0038c00002jHmKkAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKlAAK,,,0018c00002HgNxfAAF,Wicker,Julia,,Julia Wicker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-12T14:56:38.000+0000,2022-04-12T14:56:38.000+0000,,,,/services/images/photo/0038c00002jHmKlAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKmAAK,,,0018c00002HgNxgAAF,der Weghe,Melanie,,Melanie der Weghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-08T10:54:29.000+0000,2022-04-08T10:54:29.000+0000,,,,/services/images/photo/0038c00002jHmKmAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKnAAK,,,0018c00002HgNxhAAF,Mulder,Susan,,Susan Mulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-08T10:54:32.000+0000,2022-04-08T10:54:32.000+0000,,,,/services/images/photo/0038c00002jHmKnAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKoAAK,,,0018c00002HgNxiAAF,Quinn,Alice,,Alice Quinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-08T10:58:20.000+0000,2022-04-08T10:58:20.000+0000,,,,/services/images/photo/0038c00002jHmKoAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKpAAK,,,0018c00002HgNxjAAF,Waugh,Eliot,,Eliot Waugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-12T15:00:37.000+0000,2022-04-12T15:00:37.000+0000,,,,/services/images/photo/0038c00002jHmKpAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKqAAK,,,0018c00002HgNxkAAF,Hoberman,Josh,,Josh Hoberman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-08T10:54:05.000+0000,2022-04-08T10:54:05.000+0000,,,,/services/images/photo/0038c00002jHmKqAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
